,label,blue,green,red,nir,swir1,swir2
2610,veg,8507.0,8779.0,8954.0,14493.0,14072.0,11043.0
2611,veg,8508.0,8855.0,8749.0,14793.0,14161.0,10763.0
2612,veg,8437.0,8856.0,8887.0,14942.0,14608.0,11415.0
2613,veg,8439.0,8932.0,8819.0,15988.0,14429.0,10763.0
2614,veg,8368.0,9007.0,8820.0,18216.0,14070.0,10390.0
2615,veg,8369.0,8934.0,8615.0,17919.0,13713.0,10111.0
2616,veg,8297.0,8709.0,8479.0,16432.0,13623.0,10204.0
2617,veg,8298.0,8560.0,8411.0,15687.0,12191.0,9551.0
2618,veg,8373.0,8561.0,8412.0,15537.0,11832.0,9364.0
2619,veg,8301.0,8788.0,8550.0,16132.0,12727.0,9737.0
2620,veg,8302.0,8713.0,8482.0,15685.0,12280.0,9458.0
2621,veg,8229.0,8638.0,8345.0,16430.0,11652.0,8805.0
2622,veg,8157.0,8564.0,8414.0,15834.0,12010.0,9551.0
2623,veg,8378.0,8565.0,8415.0,15684.0,11741.0,9085.0
2624,veg,7942.0,8491.0,8279.0,15235.0,11294.0,8805.0
2625,veg,8089.0,8567.0,8211.0,16576.0,11831.0,9085.0
2626,veg,8652.0,8929.0,8885.0,15392.0,14431.0,10950.0
2627,veg,8579.0,8928.0,8747.0,14794.0,13536.0,10484.0
2628,veg,8362.0,8854.0,8680.0,15093.0,13446.0,10297.0
2629,veg,8581.0,8780.0,8817.0,14943.0,13714.0,10671.0
2630,veg,8509.0,8781.0,8818.0,14793.0,13892.0,10763.0
2631,veg,8366.0,8857.0,8682.0,14792.0,13624.0,10484.0
2632,veg,8367.0,8783.0,8682.0,14792.0,13534.0,10577.0
2633,veg,8441.0,8858.0,8820.0,16582.0,14518.0,10762.0
2634,veg,8514.0,9085.0,8821.0,18363.0,15053.0,11042.0
2635,veg,8443.0,8860.0,8753.0,16283.0,13802.0,10390.0
2636,veg,8299.0,8710.0,8685.0,14340.0,13533.0,10576.0
2637,veg,8228.0,8561.0,8549.0,14790.0,12727.0,9924.0
2638,veg,8375.0,8637.0,8550.0,15089.0,13085.0,10017.0
2639,veg,8376.0,8789.0,8756.0,15088.0,13622.0,10761.0
2640,veg,8302.0,8713.0,8482.0,15685.0,12280.0,9458.0
2641,veg,8303.0,8564.0,8483.0,16280.0,12727.0,9551.0
2642,veg,8378.0,8715.0,8620.0,16130.0,13443.0,10389.0
2643,veg,8234.0,8715.0,8347.0,15982.0,12726.0,9644.0
2644,veg,8235.0,8642.0,8553.0,16427.0,12279.0,9178.0
2645,veg,8236.0,8643.0,8349.0,16277.0,12279.0,9364.0
2646,veg,8436.0,8855.0,8681.0,15391.0,13624.0,10297.0
2647,veg,8435.0,8855.0,8612.0,15391.0,13535.0,10205.0
2648,veg,8436.0,8781.0,8681.0,15092.0,13624.0,10297.0
2649,veg,8438.0,8781.0,8818.0,14642.0,13624.0,10577.0
2650,veg,8439.0,8706.0,8682.0,15092.0,13534.0,10390.0
2651,veg,8294.0,8783.0,8614.0,15389.0,13534.0,10297.0
2652,veg,8369.0,8708.0,8547.0,15239.0,13623.0,10204.0
2653,veg,8442.0,8860.0,8684.0,16283.0,14159.0,10483.0
2654,veg,8516.0,8935.0,8753.0,17472.0,14517.0,10670.0
2655,veg,8227.0,8787.0,8549.0,16580.0,13264.0,10110.0
2656,veg,8155.0,8712.0,8481.0,15089.0,12727.0,10110.0
2657,veg,8230.0,8563.0,8345.0,15834.0,12548.0,9830.0
2658,veg,8303.0,8713.0,8551.0,15983.0,12637.0,9737.0
2659,veg,8376.0,8789.0,8756.0,15088.0,13622.0,10761.0
2660,veg,8377.0,8790.0,8756.0,14788.0,13889.0,10761.0
2661,veg,8522.0,8791.0,8757.0,14938.0,14068.0,10854.0
2662,veg,8452.0,8792.0,8758.0,14638.0,14067.0,10854.0
2663,veg,8381.0,8793.0,8690.0,15086.0,13353.0,10203.0
2664,veg,8309.0,8718.0,8759.0,15086.0,13352.0,9830.0
2665,veg,8383.0,8794.0,8692.0,15085.0,13262.0,10203.0
2666,veg,8438.0,9006.0,8887.0,15988.0,14429.0,10763.0
2667,veg,8437.0,8931.0,8818.0,15689.0,13892.0,10763.0
2668,veg,8511.0,8782.0,8750.0,15390.0,13803.0,10577.0
2669,veg,8440.0,8707.0,8751.0,14941.0,13802.0,10577.0
2670,veg,8369.0,8784.0,8683.0,15538.0,13623.0,10296.0
2671,veg,8296.0,8634.0,8616.0,15687.0,13534.0,10204.0
2672,veg,8371.0,8709.0,8616.0,15537.0,13444.0,10296.0
2673,veg,8444.0,8861.0,8685.0,16133.0,13980.0,10483.0
2674,veg,8373.0,8937.0,8754.0,17471.0,13890.0,10204.0
2675,veg,8229.0,8938.0,8550.0,16877.0,13443.0,10204.0
2676,veg,8230.0,8789.0,8551.0,15685.0,12906.0,10017.0
2677,veg,8230.0,8563.0,8345.0,15834.0,12548.0,9830.0
2678,veg,8303.0,8713.0,8551.0,15983.0,12637.0,9737.0
2679,veg,8304.0,8714.0,8825.0,15236.0,13173.0,10203.0
2680,veg,8379.0,8791.0,8757.0,14788.0,13532.0,10576.0
2681,veg,8380.0,8792.0,8690.0,14937.0,13621.0,10389.0
2682,veg,8308.0,8793.0,8759.0,15086.0,13531.0,10389.0
2683,veg,8383.0,8943.0,8759.0,15086.0,13710.0,10575.0
2684,veg,8310.0,8944.0,8897.0,15085.0,14245.0,10760.0
2685,veg,8385.0,8945.0,8897.0,14786.0,14513.0,11134.0
